stream,policy,requested_accuracy,achieved_accuracy,read_latency_ns,total_ns,stall_ns,demand_misses,prefetch_issued,prefetch_hits,prefetch_wasted,speedup_over_no_prefetch,recovered_fraction
moe,accuracy,0.6,0.60077,4000,4951816000,1412872000,353218,884728,531518,353210,1.429352,0.600765
moe,accuracy,0.7,0.700583,4000,4598588000,1059644000,264911,884728,619825,264903,1.539144,0.700576
moe,accuracy,0.8,0.800466,4000,4245108000,706164000,176541,884728,708195,176533,1.667305,0.800459
moe,accuracy,0.9,0.900252,4000,3891976000,353032000,88258,884728,796478,88250,1.818585,0.900244
moe,accuracy,0.95,0.949974,4000,3716012000,177068000,44267,884728,840469,44259,1.9047,0.949966
moe,accuracy,1.0,1.0,4000,3538976000,32000,8,884728,884728,0,1.999982,0.999991
moe,none,0.0,0.0,5000,7962624000,4423680000,884736,0,0,0,1.0,0.0
moe,next_page,0.9996,0.999577,5000,3982808000,443864000,374,884736,884362,374,1.999249,0.899662
moe,accuracy,0.0,0.0,5000,7962624000,4423680000,884736,884728,0,884728,1.0,0.0
moe,accuracy,0.1,0.100347,5000,7518724000,3979780000,795956,884728,88780,795948,1.059039,0.100346
moe,accuracy,0.2,0.200758,5000,7074544000,3535600000,707120,884728,177616,707112,1.125532,0.200756
moe,accuracy,0.3,0.300788,5000,6632044000,3093100000,618620,884728,266116,618612,1.200629,0.300786
moe,accuracy,0.4,0.400825,5000,6189519000,2650575000,530115,884728,354621,530107,1.286469,0.400821
moe,accuracy,0.5,0.500951,5000,5746599000,2207655000,441531,884728,443205,441523,1.385624,0.500946
moe,accuracy,0.6,0.60077,5000,5305034000,1766090000,353218,884728,531518,353210,1.500956,0.600765
moe,accuracy,0.7,0.700583,5000,4863499000,1324555000,264911,884728,619825,264903,1.637221,0.700576
moe,accuracy,0.8,0.800466,5000,4421649000,882705000,176541,884728,708195,176533,1.800827,0.800459
moe,accuracy,0.9,0.900252,5000,3980234000,441290000,88258,884728,796478,88250,2.000542,0.900244
moe,accuracy,0.95,0.949974,5000,3760279000,221335000,44267,884728,840469,44259,2.117562,0.949966
moe,accuracy,1.0,1.0,5000,3538984000,40000,8,884728,884728,0,2.249975,0.999991
moe,none,0.0,0.0,10000,12386304000,8847360000,884736,0,0,0,1.0,0.0
moe,next_page,0.9996,0.999577,10000,6194648000,2655704000,374,884736,884362,374,1.999517,0.699831
moe,accuracy,0.0,0.0,10000,12386304000,8847360000,884736,884728,0,884728,1.0,0.0
moe,accuracy,0.1,0.100347,10000,11498504000,7959560000,795956,884728,88780,795948,1.07721,0.100346
moe,accuracy,0.2,0.200758,10000,10610144000,7071200000,707120,884728,177616,707112,1.167402,0.200756
moe,accuracy,0.3,0.300788,10000,9725144000,6186200000,618620,884728,266116,618612,1.273637,0.300786
moe,accuracy,0.4,0.400825,10000,8840094000,5301150000,530115,884728,354621,530107,1.401151,0.400821
moe,accuracy,0.5,0.500951,10000,7954254000,4415310000,441531,884728,443205,441523,1.557192,0.500946
moe,accuracy,0.6,0.60077,10000,7071124000,3532180000,353218,884728,531518,353210,1.751674,0.600765
moe,accuracy,0.7,0.700583,10000,6188054000,2649110000,264911,884728,619825,264903,2.001648,0.700576
moe,accuracy,0.8,0.800466,10000,5304354000,1765410000,176541,884728,708195,176533,2.33512,0.800459
moe,accuracy,0.9,0.900252,10000,4421524000,882580000,88258,884728,796478,88250,2.801365,0.900244
moe,accuracy,0.95,0.949974,10000,3981614000,442670000,44267,884728,840469,44259,3.110875,0.949966
moe,accuracy,1.0,1.0,10000,3539024000,80000,8,884728,884728,0,3.499921,0.999991
moe,none,0.0,0.0,20000,21233664000,17694720000,884736,0,0,0,1.0,0.0
